Email,Address,Avatar,Avg. Session Length,Time on App,Time on Website,Length of Membership,Yearly Amount Spent,Cart_Abandonment_Rate,Returns_Per_Year,Customer_Service_Calls,Products_Viewed,Wishlist_Items,Payment_Method_Changes,Reviews_Written,Discount_Used_Percentage,Days_Since_Last_Purchase,Average_Order_Value
tknapp@yahoo.com,"15810 Karl Plain
Davidville, TX 64072",MediumSpringGreen,32.01230076824544,12.178331333996288,37.71598617762173,3.722561172893833,492.94505306595823,0.16448851490160177,2,7,141.0,14,1,23.0,9.0,354,64.07
garcialisa@yahoo.com,"46079 Gonzalez Loaf
Williamside, PA 72265",LemonChiffon,32.388451625505326,11.010482132400076,38.415041581538325,3.5435470501829984,424.7626355099111,0.47187906093702925,2,9,36.0,8,1,9.0,17.0,141,122.92
josephallen@hotmail.com,"3144 Jamie Rest
Maxwellville, NC 93749-1190",PeachPuff,32.65318145878372,11.60253219348616,37.3096887708795,2.789461516374708,422.42677587650905,0.4232481518257668,2,8,102.0,6,2,5.0,9.0,246,188.11
hailey18@yahoo.com,"08079 Thompson Village
North Lukeborough, AL 16825",Lime,32.93133644189654,12.732211588456623,35.60082054911087,5.4859767341605234,642.1015787311585,0.35336150260416943,0,6,116.0,2,1,9.0,7.0,93,56.01
whess@hotmail.com,"29282 Alexander Street
South Andrewmouth, MS 22041",Tomato,33.235606500693855,11.223368888365105,37.69230086128235,2.59418972057778,413.3717831104521,0.44858423607508713,2,2,32.0,8,0,6.0,28.0,239,93.72
josesims@hunter.com,"8830 Debra Loaf Apt. 341
Drakeville, ME 22340",SlateBlue,33.92579489547876,12.01102187657459,36.701052315547926,2.753424168758119,479.23109291159307,0.4214688307596458,3,2,99.0,2,0,19.0,32.0,205,81.13
dtaylor@webb.com,"18219 Jackson Well
Fosterton, MP 85302",Orange,33.05926409135838,11.725910097840954,35.9990993016087,5.004820577490747,593.0772413447512,0.17462802355441434,3,1,117.0,4,1,11.0,29.0,48,85.72
briangonzales@gmail.com,"572 Michelle Motorway Apt. 889
New Craig, ND 17250",Fuchsia,32.401731827354666,12.089309572437347,38.3099078951232,3.873337568743252,506.5473070543516,0.45702359939599113,0,4,128.0,8,0,5.0,29.0,245,186.27
jared99@yahoo.com,"PSC 0811, Box 7054
APO AA 91691",GoldenRod,33.88994100692418,13.068638584182434,37.54052035512257,3.79872531905254,571.3074948754644,0.31573689676626027,2,2,24.0,11,0,20.0,11.0,320,120.21
qchristian@martinez-allen.com,"26737 Brooks Roads
Vincentstad, VA 93089",GreenYellow,34.56938121869345,12.85499036656409,35.00748225744693,3.292797662575647,576.311177371677,0.422976062065625,2,5,156.0,13,2,12.0,32.0,317,119.94
ngarcia@donaldson.info,"662 Wells Stravenue Apt. 578
South Kristaview, DC 49423-2452",ForestGreen,33.70160519868888,11.56402236806554,37.67321036564864,4.716104987209577,576.8025473995871,0.45843651996939727,2,1,42.0,13,1,15.0,11.0,295,164.09
scastillo@hotmail.com,"0922 Gutierrez Loaf
Wattsbury, OH 96315",Moccasin,33.26833021768797,11.113329897404322,37.38794554263559,4.018726609737513,514.239520718957,0.22720138998874556,4,2,30.0,2,1,6.0,33.0,128,73.17
joshua56@garcia.com,"38154 Davis Locks
Lake Stevenfort, KY 86814-9222",Indigo,31.358477192437007,12.809883473378118,36.5496679900966,3.637701279515837,495.17595044947535,0.1440207698110707,1,4,194.0,6,2,14.0,33.0,344,123.09
richard81@day.org,"7955 Samantha Walk Suite 230
North Luis, IL 44629",SlateBlue,33.01479221522831,11.76117232548311,37.57016384471318,3.834169666632599,514.3365582674007,0.1911740650167767,4,0,24.0,11,0,4.0,25.0,282,114.5
jessica97@hotmail.com,"32202 Curtis Branch Apt. 411
Port Brettmouth, KY 01192-0594",Cyan,31.57613197132227,12.57989417361806,37.09326487011031,4.531986606666632,541.2265839893283,0.27084311545050255,1,0,80.0,0,0,16.0,34.0,17,139.54
angelaphillips@gmail.com,"102 Karen Court
New Jameston, SC 57761-6570",MintCream,32.657268594778124,11.957923064554109,36.63465232853774,4.106055151602658,516.8315566841785,0.42720590636899725,2,9,87.0,3,1,18.0,21.0,71,199.93
donald67@harrison.com,"9759 Tammy Skyway Apt. 171
Lake Debra, AS 95011",Lime,34.709323296131586,10.651793783474174,37.14600652898046,3.2182653850978555,468.4457372274064,0.4442922333025374,2,8,140.0,3,0,8.0,11.0,269,165.42
zmalone@yahoo.com,"PSC 6717, Box 7673
APO AE 66950-0088",Moccasin,34.5366591798774,12.75207661096469,36.71413783923341,3.283663455404016,548.2803201983364,0.10278085221247629,4,6,51.0,6,2,20.0,16.0,325,109.68
rlindsey@norris.com,"581 Smith Prairie Suite 995
Andersontown, AS 58802",Green,32.771715009701,11.540832436151057,37.526421027792445,2.924020724598205,431.6177337614297,0.3042989210310263,4,0,143.0,7,2,9.0,21.0,282,174.13
lewisgabrielle@hotmail.com,"422 Rivers Springs Suite 221
North Barbara, WI 51990-7596",LightSkyBlue,33.700400456822415,11.924394923280015,37.245032469967526,3.90525030898213,552.9403454501057,0.2669644012595116,1,7,130.0,0,1,14.0,6.0,305,75.61
kristina69@gmail.com,"2859 Rodriguez Forks
Port Josephtown, OH 13591-3011",BlueViolet,32.43977025334846,12.4241304114395,38.94882502753235,4.920318406118319,573.3062222574563,0.1888431241882921,3,2,188.0,4,2,21.0,24.0,7,54.57
krista86@norton.net,"0537 Rice Village
West Kylieberg, NJ 19433-5090",Azure,34.31216699740784,11.810586764578169,37.41413357473937,2.473596120847858,452.627254995083,0.14794614693347313,1,7,198.0,6,2,7.0,32.0,314,80.67
chelsea05@hansen.com,"7182 Stephen Fork Suite 150
Port Laurachester, CO 99974-1961",LightGray,32.45517628513712,12.759168978762087,36.599112354294384,4.131276648377655,542.7115581025776,0.2350460685614512,4,4,188.0,11,1,6.0,10.0,305,101.06
jill33@allen.com,"459 Amy Burg
Lake Travis, OR 53314",DarkCyan,33.540976791782235,11.85189083494272,37.42454792226391,1.7677307075942403,407.8040306356823,0.47716388156500766,4,0,72.0,3,2,16.0,26.0,103,126.59
welchashlee@hotmail.com,"PSC 8159, Box 3254
APO AP 71071-4890",GreenYellow,33.358398281424215,12.70368792886871,36.10091445210865,2.72410820200549,482.3535703213531,0.2292811728083021,0,6,143.0,12,2,12.0,30.0,309,142.27
dawnlewis@watkins.org,"623 Erica Flat
Lake Josephland, MT 73514",Crimson,32.686129256115166,12.215252424902488,36.59436168489157,3.897115859957253,529.2300901235094,0.30751624869734645,4,4,67.0,3,2,9.0,32.0,193,186.59
ashleychristopher@gmail.com,"9271 Christopher Prairie
Douglasshire, NM 18581",MediumOrchid,34.558294609144475,11.28144500356714,36.4944064828881,2.491671541288354,433.0487690958266,0.38120758355807116,0,5,78.0,3,0,15.0,31.0,241,126.48
acontreras@hotmail.com,"88995 Edwards Row Suite 456
North Jo, DE 02062-7953",Sienna,33.5477479443078,10.735362917985055,37.45837473122323,3.863425442205034,476.1914133494556,0.2454518409517176,3,5,178.0,11,1,5.0,20.0,62,125.19
alvaradoadam@jones-thompson.com,"35970 Holly Key
Port Frank, VT 78059-9385",Aquamarine,31.954903856634843,10.963131776054832,37.327282689879496,3.578633900393988,439.997879939927,0.4887128330883843,1,7,133.0,5,1,6.0,33.0,17,57.54
thomasgeorge@gonzalez-grant.com,"93306 Donald Greens
New Christopherbury, SC 59447",FloralWhite,31.0662181616376,11.735094549013704,36.59937399114725,3.9588922643660966,448.9332932076743,0.48497891797684456,1,8,157.0,6,1,6.0,27.0,171,55.24
solischristina@gmail.com,"43102 Russo View Suite 717
Hollyport, SC 15344",SlateBlue,31.851253128608366,12.418961981005012,35.97765170714366,3.251741770306888,472.9922466667984,0.20071291833014568,0,1,131.0,1,0,15.0,8.0,25,132.67
jacksonboone@rubio.com,"973 Marc Ports
Brownstad, IN 48786-6700",Sienna,32.609282635640405,10.537307537840883,35.73055240228659,3.914384667246393,463.9235129903258,0.2988994023569542,1,8,170.0,14,0,18.0,18.0,251,115.73
kaitlyn78@chang.com,"978 Bean Square
Deanburgh, OR 95149",LimeGreen,32.11511906601424,11.919242397939174,39.29404346247573,1.4435150746515455,350.0582001638451,0.22035132392670786,4,9,137.0,4,1,12.0,23.0,253,175.88
francisgeorge@thomas.org,"27563 Vincent Lake
Allenchester, DC 22159",Teal,33.924624809512075,11.911415556879854,38.27470219571763,2.910037916541069,460.0612773912433,0.21393619775098704,2,8,101.0,3,0,11.0,10.0,207,74.1
linda90@yoder.org,"979 Alison Motorway Apt. 676
North Frank, HI 55870-2651",WhiteSmoke,33.477190403003306,12.48806700205303,36.51838358912681,3.3455709758422434,505.7711403229565,0.11475477894181313,0,9,153.0,14,1,14.0,23.0,29,53.75
david79@lopez-montes.com,"969 William Manor
West Sherry, MA 66282-2258",Purple,32.116400120928155,12.380694979552985,37.23200330765404,3.0895277822700096,463.484995404266,0.3438257335919588,1,9,60.0,13,0,19.0,23.0,117,117.36
micheleblanchard@lopez-greene.com,"555 Hunt Track Suite 307
South Kristi, PA 73709",SlateGray,32.25590120444978,10.480506832694497,37.33866962178549,4.514122441132637,479.73193764530447,0.30107160929154464,0,6,42.0,12,2,7.0,9.0,282,85.62
pmercado@rodriguez.com,"811 Maria Run
Sanchezville, MI 04953",LightPink,32.69239221858063,12.296517680733736,36.95155521050133,1.8258846690261428,424.18549428888633,0.12059150049999574,0,0,49.0,2,2,4.0,19.0,144,57.44
james30@carter.biz,"3604 Richard Junctions Suite 448
Brownburgh, CO 64856-8238",LimeGreen,32.38473265900513,10.86160419912899,36.584437621758106,3.993656512525085,465.8893127108669,0.2114585856946446,2,6,51.0,6,1,10.0,27.0,25,158.69
parkerkayla@miles.com,"170 Andrew Mews
North Susan, NM 85338-2426",DarkSlateBlue,34.3387293850918,10.716355140061571,38.3072040068692,2.652158304851241,426.7752159856604,0.46330635438666146,4,9,23.0,10,0,5.0,18.0,310,66.74
alicia85@lee.com,"14220 Carla Flat Suite 521
Lake Matthew, DE 06183",DimGray,32.88710464561531,12.387184173554845,37.431159098326106,6.401228837806773,684.1634310159513,0.19582475626678897,0,4,142.0,11,0,8.0,7.0,156,141.25
dominguezjacob@hotmail.com,"8594 Erica Manors Apt. 529
Lake Miguel, MH 10652-9266",CornflowerBlue,32.51021799444433,10.984835888186163,37.396497475332055,5.391275125020632,555.8925953881737,0.15795794883648925,1,5,57.0,5,2,10.0,6.0,73,92.16
ebrown@osborne.com,"4291 Nichols Fork Apt. 562
Thomaschester, SC 08938-8769",DarkSlateGray,31.945395748344524,12.965761479512215,36.96638889642577,6.076653638440144,657.019923937652,0.2957811041110252,3,9,82.0,13,2,7.0,17.0,120,76.02
nathan86@hotmail.com,"748 Michael Plaza
West Billyside, UT 20799",MidnightBlue,36.13966248879052,12.050267234380506,36.95964319393419,3.8648607392342784,595.8038188761142,0.49426018164424035,0,6,92.0,6,0,8.0,32.0,312,106.96
aaron11@luna.com,"672 Jesus Roads Apt. 443
Thompsonland, WY 69228",LightSkyBlue,32.44952156114242,13.45772494051235,37.23880567308968,2.941410754428091,503.9783790525795,0.19682210860460017,0,4,184.0,4,0,4.0,10.0,321,170.22
fsnow@ellis.com,"0272 Jones Way
Lake Angela, MP 97003-5793",MediumBlue,32.29464154956504,12.44304789043987,37.32784803784372,5.084861308602489,586.1558701804728,0.3688542189623515,2,6,202.0,12,0,4.0,24.0,93,108.81
asilva@yahoo.com,"USNV Johnson
FPO AP 19026",Wheat,34.60331111938746,12.207298491050794,33.91384724758464,6.922689335035807,744.2218671047146,0.4046478461314871,4,8,35.0,5,0,17.0,14.0,86,162.62
casey21@johnson.com,"691 Johnson Field Apt. 510
Michaelville, VI 78140",SpringGreen,33.5985203185533,11.586319529181234,39.09462702670515,3.6043985602569495,512.8253581285203,0.19505501759695987,3,2,42.0,4,0,23.0,13.0,336,68.82
campbellross@yahoo.com,"6218 Michael Station Apt. 982
Salazarburgh, NJ 79955",DarkRed,34.56868084571511,11.378087087773377,38.304471191707776,3.7849321101304056,528.2238093680072,0.3912865394447439,1,7,65.0,13,0,22.0,29.0,364,165.92
blevinseric@stephens.com,"PSC 3676, Box 1549
APO AE 26130-7683",Orange,32.83810016055479,12.364341604455198,38.03910938707497,3.30918232804298,468.9135013219844,0.2471132530877013,3,1,149.0,6,1,13.0,25.0,118,85.54
stevenking@patterson.com,"94730 Martin Mount
New Matthew, VI 08142-6708",LightGray,33.50370517913956,12.399436075147092,35.01280603355904,0.9686221157417688,357.59143941508603,0.35292233223743186,1,6,73.0,1,0,21.0,4.0,233,151.61
samuel94@hotmail.com,"5480 Vazquez Crossing Suite 825
East Christopherland, PA 42104",DarkViolet,33.30188161463884,12.54248105078634,38.31136489758187,3.768561962709896,536.4231045259343,0.3534118843043579,4,1,52.0,13,2,6.0,17.0,199,134.87
johnsonpaul@keller-woodard.org,"USCGC Dodson
FPO AA 87781-3935",LimeGreen,30.879484344127498,13.280432242922112,36.93615937845674,3.585160635161344,490.2065999848546,0.31430987362990337,1,3,62.0,10,1,14.0,4.0,206,189.37
twilliams@gibbs.net,"Unit 6678 Box 6628
DPO AP 44369",CadetBlue,33.15425475700075,11.795886676889108,37.65861690944284,4.520353377496559,550.0475805761635,0.13611590802176332,2,6,194.0,4,0,18.0,19.0,339,108.1
teresapacheco@salinas.biz,"75805 Larry Mills
East Cristian, MH 53820",DarkMagenta,32.04780097886789,12.718039174525655,37.66110668399285,3.6758488000184415,513.4505711860965,0.43412099823569517,2,2,201.0,5,2,14.0,24.0,147,59.92
allison80@carson-hansen.com,"04311 Oconnor Park Apt. 415
Kelleystad, ND 63064-8935",ForestGreen,33.63080076787103,12.039647840787236,38.9240870506292,2.873007508505152,497.8119300055205,0.22831202598869435,2,1,174.0,5,1,20.0,6.0,271,52.87
turnerryan@hotmail.com,"770 Lewis Pike Apt. 869
Phelpsport, PA 93969-4887",LightSkyBlue,34.04663802802127,12.474455453922836,35.037856159447585,4.055775961742958,578.9862585804898,0.1746074041599417,2,9,195.0,14,2,20.0,13.0,139,174.03
walkererica@scott.com,"86536 Barnes Track
South Kyle, MT 21570-5606",MediumAquaMarine,33.644177000440536,13.160020040286032,36.4077474507818,3.015175298743708,506.5363931400864,0.11631005662190558,3,6,61.0,4,0,9.0,15.0,181,128.71
mark94@yahoo.com,"586 Timothy Union Suite 592
East Joseph, MO 81374",Salmon,32.65462160732388,11.052323653306688,37.63300941664362,4.717102512825834,501.74923330839226,0.33635717727529674,4,0,106.0,9,0,8.0,32.0,30,166.29
daniellecuevas@hotmail.com,"9287 Daniel Rest Apt. 608
Allentown, SD 73050",LavenderBlush,33.42874704259606,10.636761083696548,37.57883524203316,2.926396448726688,421.96679418586734,0.37102574473691297,1,7,173.0,6,0,11.0,33.0,57,85.16
gbarnes@gmail.com,"8667 Suzanne Motorway Suite 241
Spencechester, KY 74385-4618",Green,31.86483254809873,13.44340598514625,36.87831536782346,2.361086946869883,439.8912804768136,0.10663513157114246,1,2,151.0,9,0,5.0,4.0,232,101.76
cody68@hotmail.com,"374 Dana Junctions
Langside, WI 36474",SpringGreen,34.48238804881123,13.28303286832567,35.90729842685246,4.968742673728142,666.125591725772,0.3048372233197124,2,1,149.0,7,1,19.0,28.0,146,54.52
fischermonica@gmail.com,"9847 Michael Plaza Suite 837
Lake Christophershire, NV 87324-8427",Navy,32.529768731474434,11.747731701242175,36.93988205032054,0.8015157200042076,298.76200786180766,0.1905983100791752,2,2,68.0,6,1,23.0,12.0,48,194.22
brenda25@gmail.com,"353 Jones Loaf Apt. 767
South Michaelburgh, PR 16281-4840",OliveDrab,33.432231396262715,10.859608533152713,38.83567008085342,3.669225611315444,465.1766233052969,0.35806911616378,0,4,74.0,4,2,15.0,15.0,194,150.18
david58@yahoo.com,"6058 Thomas Divide
Matthewland, PA 89442-8198",LightSalmon,33.30857161628053,11.691686125826353,37.480911976267066,1.7157771665531147,373.8857236969501,0.16974657160199658,4,7,103.0,0,0,9.0,24.0,224,189.98
clifford76@johnson.com,"8032 Hodge Circle Apt. 255
Lake Jessicashire, OR 54914",RosyBrown,32.33263706834172,11.548761439776756,38.57651554990162,4.773503047345896,532.7174856761748,0.37637509524098645,3,9,200.0,12,2,4.0,32.0,136,89.82
jacquelinehughes@bennett-branch.info,"601 Ashley Loop Suite 162
Port Benjaminview, DE 02456",DeepPink,34.71345123397026,11.72400223179126,36.81385766052378,4.087837272921703,554.9007830202702,0.25469413852021494,1,6,147.0,4,1,7.0,33.0,22,141.72
victoria53@hotmail.com,"16329 Sara Neck Apt. 463
Bryanside, TX 62329",Pink,32.635877998189926,12.178573080885846,35.6742560274292,4.131755039569861,537.7731625414566,0.4746919954946939,0,6,142.0,9,0,20.0,21.0,6,151.77
cunninghamkyle@ellis-parker.org,"449 Williamson Lakes Apt. 118
Travisville, AK 06848-0177",LightGreen,33.07570303157222,12.319845062066673,37.81915511227683,3.4427992020016864,501.100245232053,0.1550083776583973,0,6,31.0,1,0,16.0,14.0,204,97.63
jjones@yahoo.com,"047 Carla Locks
Coreymouth, AR 98066",GreenYellow,32.23014911593311,11.084360836740512,37.9596843202141,4.724027439824315,517.1651355939779,0.23642654042010341,1,7,107.0,12,1,21.0,28.0,239,177.22
michaelferguson@torres-miles.net,"757 Amber Gateway Apt. 787
New Stephaniechester, OR 61576-6056",Sienna,34.142863372870714,13.1777745337738,38.856041708111945,3.2309738432875563,557.5292736134538,0.14538940849623563,3,0,152.0,4,1,8.0,11.0,185,192.07
crawforderik@price.org,"5183 Michael Ramp
East Lukeburgh, FL 93972",DarkKhaki,32.4971984614607,12.832802836968115,37.67924462448078,2.972271382079821,493.719192978176,0.4698774473114251,0,3,31.0,4,1,6.0,20.0,360,182.73
jlawson@mccarthy.com,"0127 Morgan Fields Apt. 080
Thompsonfurt, ME 01160-7043",LightGray,33.12239998431699,11.509047996817198,37.25305774145061,3.182329731786818,452.1226250857849,0.45093574135239245,0,5,179.0,1,1,14.0,14.0,292,160.86
marshchristopher@zimmerman-villegas.com,"667 Stephanie Lake Apt. 658
Marthashire, NC 11815-2307",DarkRed,33.088529366211525,11.85766344472502,36.0869343253416,4.806349618785283,577.2734549822936,0.20317665108606225,4,8,119.0,4,1,16.0,25.0,335,91.62
oolson@collins.com,"07867 Horn Lake
West Teresatown, VT 64387-1228",Aqua,32.53379686092211,12.293365838346627,37.06462119956545,3.6203649883552,485.9231305248517,0.3639936184136716,3,1,125.0,12,0,7.0,11.0,220,92.24
isaiahcampbell@yahoo.com,"55414 Ramirez Union Apt. 614
West Crystal, CA 03845-2631",Red,32.48426048276214,10.93325227854703,36.54550622682937,3.261324744787093,425.7450920310528,0.4268888800804863,0,0,27.0,3,1,17.0,9.0,116,194.5
kcannon@alvarez-cline.info,"55479 Peters Field Apt. 702
North Micheleberg, PR 45063",Lavender,32.5434591695977,13.332839284456396,37.964390331775896,3.597459968849926,537.2150526997326,0.322080324639785,3,9,109.0,0,0,14.0,31.0,313,51.54
nielsencarmen@harrell.net,"2491 Yates Crest Suite 316
Connieville, FL 92080-0819",DeepPink,32.28312306113335,10.902556227019767,36.094241952849465,4.789201624179895,524.6379646141049,0.3118602313424026,1,1,197.0,2,0,13.0,8.0,49,157.41
efreeman@moore.com,"223 Powell Ridges
East Richardtown, RI 90715-2178",White,32.200798643965314,12.276981712741968,38.23260622710401,3.3164647447029107,478.8853913201482,0.19674091636018068,2,6,57.0,0,1,22.0,18.0,173,155.94
roblessarah@hotmail.com,"022 Taylor Mews Suite 692
Hallberg, NJ 53614",MediumSeaGreen,34.71331650656199,12.038808239866547,37.63529940965426,4.632460945972205,612.3852298963607,0.1372411071223597,0,2,78.0,11,1,21.0,11.0,82,143.4
christopherhaas@gmail.com,"56674 Melanie Flats
Schneiderberg, IN 66532",MediumPurple,32.71251232693568,11.724473856834608,37.15315160406014,3.308443000674604,476.7667241547634,0.4588863031813307,4,9,142.0,10,0,9.0,4.0,322,198.52
ethomas@yahoo.com,"1279 Douglas Mountains
Port Christopherberg, RI 32811-8325",LightGreen,33.69489765096749,11.202669899735568,35.49396408005127,4.015986640445781,505.1196375282037,0.4601672228653322,1,1,193.0,14,1,18.0,5.0,333,96.78
wevans@gmail.com,"222 Jason Park
Dominguezshire, NC 98241",Tan,31.57020082932026,13.378063328893631,36.33780003116479,4.369366793790984,545.9454921414049,0.35324058290930715,3,6,181.0,4,1,13.0,10.0,45,101.0
patrickorr@yahoo.com,"6009 Heather Park
Howardhaven, SD 51705-2993",LawnGreen,33.45947684896434,11.38861261864104,37.90913871755985,2.56663984381683,434.0216997527185,0.2356119164194803,1,1,136.0,3,1,8.0,29.0,335,61.84
mary84@edwards.com,"19123 Craig Isle Apt. 719
Millsmouth, SC 94194",LightSkyBlue,31.820998201672072,10.771074062599588,37.278639793707605,3.5190324339539223,424.6752810132133,0.23968382984506437,0,2,167.0,6,2,8.0,12.0,20,116.42
longwilliam@gmail.com,"16068 Kelly Parks
Wrightside, NH 21447",BurlyWood,32.73322416398153,11.818571762285,37.1020313268591,1.503854421225295,352.5501081630003,0.3903822715480958,3,6,49.0,4,0,13.0,30.0,221,89.16
lisagutierrez@johnson-herring.net,"89300 Amber Centers Apt. 879
Victoriaton, VT 98394",Peru,32.40714829999668,13.808798675105962,37.42676891745393,5.039955263662929,662.9610878058954,0.4588441039810308,2,3,159.0,9,2,8.0,22.0,123,101.51
david81@hotmail.com,"1576 Lane Shoal
Rogerton, PR 63867-3426",Thistle,33.506092281309364,11.659832840871443,37.28139282998597,4.47871260846301,560.5601606242603,0.45483456970604697,1,0,69.0,13,1,6.0,18.0,234,175.19
jacksonking@mccormick.com,"120 Micheal Fort Apt. 762
East Patrickbury, WY 65946",DarkMagenta,30.836432674773427,13.100109538542808,35.90772142967966,3.361612984538193,467.5019004269896,0.41195021834304957,0,4,136.0,3,2,9.0,21.0,221,190.32
jessica04@christian-riley.com,"338 Graham Loaf Suite 236
East Toddton, FM 43566-4238",LemonChiffon,34.87849495417028,13.067895684999526,36.67822227440393,1.9207154781756468,504.8704323933724,0.35681265846171517,4,8,99.0,1,1,7.0,17.0,323,77.86
simmonsmartin@hardy.com,"2302 Joshua Park
Millerbury, WA 30239-8144",MediumVioletRed,34.007211972221654,12.49432293326939,36.04545942048616,4.330714461860564,590.56271964715,0.13365598599801953,3,7,95.0,3,2,21.0,27.0,339,105.88
michellejohnson@sanders-rodriguez.com,"70562 Gonzalez Stravenue
Elizabethland, WI 40700-9149",Teal,31.525752416968214,11.340035931978807,37.03951365322458,3.811248170807232,443.9656268098819,0.1646514856378455,1,8,111.0,11,1,12.0,12.0,3,189.29
tylerhernandez@barton.info,"7613 Miguel Knoll Suite 762
West Katherine, WV 19406",SlateGray,31.04722213948752,11.199660962300452,38.68870909942437,3.0887639575315755,392.4973991890214,0.4594216754108317,1,9,68.0,1,2,20.0,14.0,182,59.27
connerjoseph@gmail.com,"981 David Square
New Jacquelinetown, AK 66018-4092",Turquoise,34.59577669439264,11.332487778094174,35.45986279714474,4.541695256706066,568.7175759305223,0.342571623863836,2,8,55.0,7,2,16.0,31.0,206,63.85
jeffrey54@mcdonald-williams.com,"297 Francis Valley
South Lindsey, NY 13669-5367",Gainsboro,34.96760988717724,13.919494396088172,37.952013186883086,5.066696864020983,712.3963268096636,0.10367882064665186,2,6,24.0,2,2,18.0,33.0,320,74.42
hevans@kelly-nunez.org,"Unit 4065 Box 2267
DPO AE 69180-7372",Orchid,32.29524762622046,11.03135834040919,38.252978273334655,3.1074686827074625,413.29599918102974,0.14058861714641285,4,3,169.0,8,0,23.0,30.0,40,139.28
lewiskendra@yahoo.com,"988 Matthew Plaza
Lake Jacobshire, AL 37889",Yellow,33.324240521849696,11.084584086421872,36.77601657686874,4.74698970293514,562.0820453929382,0.3654007076432223,4,4,53.0,12,2,20.0,17.0,59,72.57
freemantina@cannon.org,"870 Dennis Throughway
Wilsonport, PW 12658",AntiqueWhite,32.903454333014224,10.54264542398311,35.53386350026307,3.091826869545788,412.012931298847,0.10202463353848748,0,0,164.0,3,0,16.0,27.0,62,195.21
wagnerbrian@hotmail.com,"50593 Wells Roads Apt. 110
South Amy, MI 06969-2026",AliceBlue,32.55949313011333,11.79779551488024,37.77736579677647,3.1956257763719886,468.6684655991273,0.16432322056699947,0,0,76.0,12,1,19.0,17.0,132,117.01
melissa08@nelson.com,"15863 Harrington Glens Suite 012
Marystad, LA 50652-8210",Tomato,31.76561882104241,12.442616548294634,38.13171202563648,3.8502796390964265,496.55408163560713,0.3194935157466344,4,2,71.0,5,2,7.0,19.0,60,125.23
karina59@gmail.com,"9580 Clark Trail Suite 687
Williamsside, FM 57367",PapayaWhip,34.08164619679617,12.104542428062686,36.05964597986499,3.974522480483529,548.5185292758069,0.37675807907707737,4,7,92.0,9,1,8.0,10.0,331,87.0
baldwinbryan@estrada-silva.biz,"1470 Kathleen Pass
South Christopherberg, SD 22850",MediumSeaGreen,33.304431285296005,12.378490222808672,38.76429717446252,3.843848921495288,536.1308968550214,0.3607845038010402,3,1,128.0,4,1,8.0,22.0,122,120.64
audreyguerrero@carey.com,"1995 Susan Locks Suite 760
East Cheryl, AR 37103-5176",BlueViolet,34.33075044367848,13.722453676229962,35.773116391246816,2.909008460485079,558.4272571753238,0.18970772378422393,2,3,113.0,9,2,12.0,8.0,107,149.29
drew29@hotmail.com,"20888 Erin Via
Grahamville, NH 72913-6101",Tomato,32.07894757956938,12.725909323593957,36.54466409871873,1.1390935384245742,357.8637186383917,0.3848716885390143,0,1,86.0,12,0,20.0,11.0,96,162.68
michael00@yahoo.com,"03065 Henry Courts Suite 443
Derekstad, VT 88473",DarkSlateGray,33.60579899891236,13.68511889962359,34.89198326749108,2.6852848361090778,529.0566631985306,0.19489963499872004,2,4,96.0,0,2,15.0,28.0,347,163.08
jgray@khan-allen.com,"1416 Rachel Crescent
West Laurieside, IL 81119-7229",Gold,32.74515048083576,10.012583366223025,38.35495987026449,3.108911449181274,387.35707273642186,0.2301598792637071,2,8,183.0,8,1,5.0,9.0,235,136.68
bushsusan@hotmail.com,"20618 David Square
Gayland, HI 78719-9628",Moccasin,32.12236479579778,11.435533874300315,36.22355746230224,4.852842407156433,528.9336185650203,0.3985965620472097,4,0,191.0,0,1,16.0,7.0,62,185.65
charris@gmail.com,"2781 Matthew Wells Apt. 569
Potterview, KS 50763-8282",MediumSeaGreen,32.53082944110282,12.354607081759855,37.12234520816764,2.30755242118396,420.91615953269286,0.35985315961888587,3,4,112.0,7,2,22.0,4.0,256,172.61
longphillip@yahoo.com,"13044 Woods Heights
Andreamouth, ND 52317-6007",LightGreen,31.736635686050285,10.748533655415798,35.73870747121452,4.83552866742221,496.9334462555319,0.43968936419767124,1,8,198.0,8,0,6.0,33.0,49,163.56
madisonalexander@gmail.com,"791 Allen Trafficway Suite 776
Christopherland, DC 41460",Orange,34.11756669418932,11.59187166512224,37.743619699549896,3.6785893989539975,519.372976801355,0.3630451569201374,3,0,35.0,8,0,13.0,19.0,348,58.34
mfoster@brown-white.com,"36192 Ho Spring
New Michael, RI 65851-6369",Cyan,33.63662445812838,11.236506758754029,37.67502073290805,5.254708925941115,591.4377355684503,0.32732344133418867,3,8,95.0,0,1,5.0,18.0,159,51.03
sanchezkara@hotmail.com,"40494 Robert Park
Heatherside, IL 70364",SlateBlue,34.33486453305801,11.109456333168431,38.585854757332655,3.8928914802112553,502.4097853029053,0.137469907131237,2,7,99.0,1,1,16.0,28.0,124,81.87
floresbradley@hotmail.com,"446 Daniel Rest Suite 644
Port Matthewhaven, MN 89465",BlanchedAlmond,34.814983943728855,12.114944955194904,36.28872395038688,4.389455226416517,604.3348400688554,0.24708632122377341,3,3,182.0,11,0,22.0,29.0,317,149.53
